2.708803906809538375e+02,1.885835851788353068e+02,2.008398756367149190e+03,2.148742067711868931e+00,1.504238018593936799e+00,3.289286421730716370e+02,4.435458918487269336e-02,8.374437051223452499e+01,2.113169309676233070e+02
4.281608165621654507e+02,1.999503973198251003e+02,2.002251189959400335e+03,4.034749056950238888e+00,2.414063024854026906e+00,3.300089689550448497e+02,3.379828249324887679e+00,1.080233108848301242e+02,2.583810769124217472e+02
2.745954029923004214e+02,2.153284122929513273e+02,2.171764728396904502e+03,1.897218493913897852e+00,5.788315583116501628e+00,3.618054267230882033e+02,3.025377271292719605e-01,0.000000000000000000e+00,4.520187024115529084e+00
6.303456219599668202e+02,3.871886689646844957e+02,2.359330642077781249e+03,4.174634341082952838e-02,1.012150644991386450e+01,3.768560742499104776e+02,1.547591501976787409e+00,0.000000000000000000e+00,2.307378263244032155e+02
1.837969051784298699e+03,1.382906682065119639e+03,2.246960387221147357e+03,2.641072607659379567e+00,3.995669120772018346e+01,3.054612467151485475e+02,8.323540234796673598e-01,1.731635883967137261e+03,7.699862380436831018e+02
4.601149432950731466e+02,1.449504534681842358e+02,1.832316434266031138e+03,2.489063562281806918e-01,3.998276900532665046e+00,3.058781463303872101e+02,4.819945535194310182e-02,5.696062932735752611e+02,3.764604804088719447e+02
1.101414949137084022e+03,6.388651062829752618e+02,2.322076247158110164e+03,1.994090236221671475e+00,1.077837310037522478e+00,3.108732929116656578e+02,1.369093985141446979e+00,5.782062222572135397e+02,3.773669688352235312e+02
1.469152005033762634e+03,1.085160006593434446e+03,2.265499329950367610e+03,2.171738144119711666e+00,4.372616864162377226e+01,3.297087530896723706e+02,2.370271795091250411e+00,1.373357242818178392e+01,7.779304850633234309e+02
1.754401795702309300e+03,1.340759664341750977e+03,2.243996408142636938e+03,3.982072872285090881e+00,1.980001220189077538e+00,3.053744450612275045e+02,8.487616552263580472e-01,1.649235230987983186e+03,8.188210764622275519e+02
3.714016570217056028e+02,1.989450639136644270e+02,1.764783079516121688e+03,9.531371856557595279e-02,5.233151107101732435e+01,3.041186228702410403e+02,4.870484237311414888e-02,3.121172200009522157e+02,8.429262913979208633e+02
